,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam
CAL249,1.37,0.914,0.999,0.086,0.915,0.086,1.0655015487564323,0.915,0.038578905933551705,-0.22,0.413,0.942,0.587,0.987,0.413,0.384049948343599,0.942,0.025949097207122653,0.35,0.638,0.98,0.362,0.984,0.362,0.4412914294668343,0.98,0.00877392430750515
BYRV762,1.14,0.873,0.999,0.127,0.915,0.127,0.8961962790440431,0.915,0.038578905933551705,-0.22,0.414,0.942,0.586,0.987,0.414,0.3829996588791011,0.942,0.025949097207122653,-2.54,0.00557,0.925,0.994,0.997,0.00557,2.254144804826271,0.925,0.03385826726096737
MZM43,-0.35,0.364,0.92,0.636,0.981,0.364,0.438898616350944,0.92,0.036212172654444715,-0.22,0.414,0.942,0.586,0.987,0.414,0.3829996588791011,0.942,0.025949097207122653,2.44,0.993,1.0,0.00734,0.587,0.00734,2.1343039400839294,0.587,0.23136189875238555
WHFCN1,-0.96,0.167,0.897,0.833,0.981,0.167,0.7772835288524167,0.897,0.047207556955907906,-0.22,0.414,0.942,0.586,0.987,0.414,0.3829996588791011,0.942,0.025949097207122653,0.65,0.743,0.998,0.257,0.981,0.257,0.5900668766687055,0.981,0.008330992620051497
LNOD3,0.19,0.577,0.986,0.423,0.981,0.423,0.37365963262495766,0.981,0.008330992620051497,-0.21,0.416,0.944,0.584,0.987,0.416,0.3809066693732573,0.944,0.02502800570193105,-0.54,0.295,0.926,0.705,0.984,0.295,0.530177984021837,0.926,0.033389013318065645
LWIUE90,-0.34,0.365,0.92,0.635,0.981,0.365,0.4377071355435253,0.92,0.036212172654444715,-0.21,0.416,0.944,0.584,0.987,0.416,0.3809066693732573,0.944,0.02502800570193105,-0.32,0.375,0.952,0.625,0.984,0.375,0.42596873227228116,0.952,0.021363051615525673
URY7,-1.61,0.0532,0.897,0.947,0.983,0.0532,1.274088367704952,0.897,0.047207556955907906,-0.21,0.416,0.944,0.584,0.987,0.416,0.3809066693732573,0.944,0.02502800570193105,0.32,0.624,0.975,0.376,0.984,0.376,0.42481215507233894,0.975,0.010995384301463193
SWSQ9,-0.48,0.316,0.909,0.684,0.981,0.316,0.5003129173815962,0.909,0.041436116778032536,-0.21,0.417,0.945,0.583,0.987,0.417,0.3798639450262425,0.945,0.024568191490737076,-0.19,0.426,0.958,0.574,0.984,0.426,0.37059040089728107,0.958,0.018634490921455603
PKC6,-0.34,0.368,0.92,0.632,0.981,0.368,0.43415218132648237,0.92,0.036212172654444715,-0.21,0.418,0.946,0.582,0.987,0.418,0.3788237182249648,0.946,0.02410886359820726,-1.62,0.0526,0.925,0.947,0.986,0.0526,1.279014255846261,0.925,0.03385826726096737
RXCB014,-0.16,0.436,0.952,0.564,0.981,0.436,0.36051351073141397,0.952,0.021363051615525673,-0.2,0.419,0.946,0.581,0.987,0.419,0.3777859770337047,0.946,0.02410886359820726,0.1,0.539,0.97,0.461,0.984,0.461,0.33629907461035186,0.97,0.01322826573375516
IMOC6,2.1,0.982,0.999,0.0177,0.648,0.0177,1.7520267336381934,0.648,0.18842499412940666,-0.2,0.419,0.946,0.581,0.987,0.419,0.3777859770337047,0.946,0.02410886359820726,-0.72,0.235,0.925,0.765,0.984,0.235,0.6289321377282637,0.925,0.03385826726096737
VRWP319,-1.51,0.0658,0.897,0.934,0.981,0.0658,1.1817741063860445,0.897,0.047207556955907906,-0.2,0.42,0.946,0.58,0.987,0.42,0.37675070960209955,0.946,0.02410886359820726,-0.35,0.363,0.945,0.637,0.984,0.363,0.4400933749638875,0.945,0.024568191490737076
TSB45,-0.45,0.327,0.909,0.673,0.981,0.327,0.4854522473397139,0.909,0.041436116778032536,-0.2,0.421,0.946,0.579,0.987,0.421,0.3757179041643317,0.946,0.02410886359820726,0.33,0.628,0.975,0.372,0.984,0.372,0.4294570601181025,0.975,0.010995384301463193
ZYHBK815,-0.12,0.452,0.96,0.548,0.981,0.452,0.3448615651886179,0.96,0.017728766960431602,-0.2,0.422,0.946,0.578,0.987,0.422,0.37468754903832613,0.946,0.02410886359820726,2.36,0.991,1.0,0.00913,0.677,0.00913,2.039529222465701,0.677,0.16941133131485567
KBDW2,-0.45,0.328,0.909,0.672,0.981,0.328,0.4841261562883209,0.909,0.041436116778032536,-0.2,0.423,0.946,0.577,0.987,0.423,0.37365963262495766,0.946,0.02410886359820726,-0.25,0.401,0.952,0.599,0.984,0.401,0.39685562737981767,0.952,0.021363051615525673
PVT036,-0.77,0.222,0.897,0.778,0.981,0.222,0.6536470255493614,0.897,0.047207556955907906,-0.19,0.423,0.946,0.577,0.987,0.423,0.37365963262495766,0.946,0.02410886359820726,-1.83,0.0337,0.925,0.966,0.988,0.0337,1.4723700991286615,0.925,0.03385826726096737
BOT28,0.41,0.659,0.988,0.341,0.981,0.341,0.4672456210075022,0.981,0.008330992620051497,-0.19,0.423,0.946,0.577,0.987,0.423,0.37365963262495766,0.946,0.02410886359820726,-0.93,0.176,0.925,0.824,0.984,0.176,0.7544873321858502,0.925,0.03385826726096737
IKVDO45,1.26,0.896,0.999,0.104,0.915,0.104,0.9829666607012196,0.915,0.038578905933551705,-0.19,0.424,0.946,0.576,0.987,0.424,0.37263414340726736,0.946,0.02410886359820726,0.48,0.683,0.981,0.317,0.984,0.317,0.4989407377822485,0.981,0.008330992620051497
BTNX51,1.2,0.884,0.999,0.116,0.915,0.116,0.9355420107730815,0.915,0.038578905933551705,-0.19,0.426,0.946,0.574,0.987,0.426,0.37059040089728107,0.946,0.02410886359820726,-0.18,0.429,0.958,0.571,0.984,0.429,0.36754270781527576,0.958,0.018634490921455603
MHS45,0.7,0.758,0.991,0.242,0.981,0.242,0.6161846340195687,0.981,0.008330992620051497,-0.19,0.426,0.946,0.574,0.987,0.426,0.37059040089728107,0.946,0.02410886359820726,-0.18,0.429,0.958,0.571,0.984,0.429,0.36754270781527576,0.958,0.018634490921455603
LUMZT04,-0.05,0.481,0.968,0.519,0.981,0.481,0.31785492362616824,0.968,0.014124642691606345,-0.19,0.426,0.946,0.574,0.987,0.426,0.37059040089728107,0.946,0.02410886359820726,1.68,0.953,1.0,0.047,0.859,0.047,1.3279021420642825,0.859,0.0660068361687577
DIM48,2.22,0.987,0.999,0.0133,0.638,0.0133,1.8761483590329142,0.638,0.19517932127883766,-0.18,0.427,0.946,0.573,0.987,0.427,0.36957212497497616,0.946,0.02410886359820726,-1.33,0.092,0.925,0.908,0.984,0.092,1.0362121726544447,0.925,0.03385826726096737
NBY268,-0.55,0.292,0.898,0.708,0.981,0.292,0.5346171485515817,0.898,0.04672366333269562,-0.18,0.427,0.946,0.573,0.987,0.427,0.36957212497497616,0.946,0.02410886359820726,-0.32,0.373,0.951,0.627,0.984,0.373,0.4282911681913124,0.951,0.02181948306258609
GXNWL3,0.11,0.543,0.972,0.457,0.981,0.457,0.34008379993014975,0.972,0.012333735073725434,-0.18,0.427,0.946,0.573,0.987,0.427,0.36957212497497616,0.946,0.02410886359820726,-0.73,0.231,0.925,0.769,0.984,0.231,0.6363880201078557,0.925,0.03385826726096737
RIBLG30,-0.11,0.456,0.962,0.544,0.981,0.456,0.341035157335565,0.962,0.016824927962187056,-0.18,0.427,0.946,0.573,0.987,0.427,0.36957212497497616,0.946,0.02410886359820726,-0.29,0.386,0.952,0.614,0.984,0.386,0.41341269532824504,0.952,0.021363051615525673
WEXVB7,0.53,0.703,0.988,0.297,0.981,0.297,0.5272435506827877,0.981,0.008330992620051497,-0.18,0.428,0.946,0.572,0.987,0.428,0.368556230986828,0.946,0.02410886359820726,-0.45,0.328,0.944,0.672,0.984,0.328,0.4841261562883209,0.944,0.02502800570193105
TOWKQ214,1.39,0.917,0.999,0.0827,0.915,0.0827,1.0824944904474534,0.915,0.038578905933551705,-0.18,0.428,0.946,0.572,0.987,0.428,0.368556230986828,0.946,0.02410886359820726,-1.57,0.058,0.925,0.942,0.986,0.058,1.2365720064370627,0.925,0.03385826726096737
HQP26,0.84,0.799,0.997,0.201,0.981,0.201,0.6968039425795111,0.981,0.008330992620051497,-0.18,0.428,0.946,0.572,0.987,0.428,0.368556230986828,0.946,0.02410886359820726,0.99,0.839,0.998,0.161,0.953,0.161,0.7931741239681502,0.953,0.02090709936167361
WFO540,0.48,0.683,0.988,0.317,0.981,0.317,0.4989407377822485,0.981,0.008330992620051497,-0.18,0.429,0.946,0.571,0.987,0.429,0.36754270781527576,0.946,0.02410886359820726,-0.69,0.244,0.925,0.756,0.984,0.244,0.6126101736612706,0.925,0.03385826726096737
KKWF247,-1.4,0.0811,0.897,0.919,0.981,0.0811,1.090979145788844,0.897,0.047207556955907906,-0.18,0.429,0.946,0.571,0.987,0.429,0.36754270781527576,0.946,0.02410886359820726,-0.95,0.172,0.925,0.828,0.984,0.172,0.7644715530924511,0.925,0.03385826726096737
NOUM6,-0.29,0.384,0.929,0.616,0.981,0.384,0.4156687756324692,0.929,0.03198428600635821,-0.18,0.43,0.946,0.57,0.987,0.43,0.36653154442041347,0.946,0.02410886359820726,1.43,0.923,1.0,0.0766,0.929,0.0766,1.1157712303673961,0.929,0.03198428600635821
DKX28,0.02,0.51,0.97,0.49,0.981,0.49,0.3098039199714863,0.97,0.01322826573375516,-0.18,0.43,0.946,0.57,0.987,0.43,0.36653154442041347,0.946,0.02410886359820726,-0.08,0.468,0.962,0.532,0.984,0.468,0.32975414692587596,0.962,0.016824927962187056
GUFB71,-0.82,0.206,0.897,0.794,0.981,0.206,0.6861327796308466,0.897,0.047207556955907906,-0.18,0.43,0.946,0.57,0.987,0.43,0.36653154442041347,0.946,0.02410886359820726,-0.99,0.161,0.925,0.839,0.984,0.161,0.7931741239681502,0.925,0.03385826726096737
RTGPB014,-1.11,0.132,0.897,0.868,0.981,0.132,0.8794260687941501,0.897,0.047207556955907906,-0.17,0.432,0.946,0.568,0.987,0.432,0.3645162531850879,0.946,0.02410886359820726,0.49,0.687,0.982,0.313,0.984,0.313,0.5044556624535516,0.982,0.00788851221305034
LYUVS734,-0.83,0.202,0.897,0.798,0.981,0.202,0.6946486305533762,0.897,0.047207556955907906,-0.17,0.433,0.946,0.567,0.987,0.433,0.36351210364663455,0.946,0.02410886359820726,-0.68,0.249,0.925,0.751,0.984,0.249,0.6038006529042637,0.925,0.03385826726096737
NIMVJ3,0.95,0.83,0.999,0.17,0.971,0.17,0.769551078621726,0.971,0.012780770091995148,-0.17,0.433,0.946,0.567,0.987,0.433,0.36351210364663455,0.946,0.02410886359820726,-0.45,0.327,0.944,0.673,0.984,0.327,0.4854522473397139,0.944,0.02502800570193105
GVP3,0.64,0.737,0.988,0.263,0.981,0.263,0.5800442515102421,0.981,0.008330992620051497,-0.17,0.433,0.946,0.567,0.987,0.433,0.36351210364663455,0.946,0.02410886359820726,0.47,0.682,0.981,0.318,0.984,0.318,0.4975728800155673,0.981,0.008330992620051497
AKXGR6,-1.35,0.0887,0.897,0.911,0.981,0.0887,1.0520763801682735,0.897,0.047207556955907906,-0.16,0.435,0.946,0.565,0.987,0.435,0.3615107430453627,0.946,0.02410886359820726,1.61,0.947,1.0,0.0533,0.89,0.0533,1.2732727909734278,0.89,0.05060999335508721
ROL7,0.47,0.68,0.988,0.32,0.981,0.32,0.494850021680094,0.981,0.008330992620051497,-0.16,0.435,0.946,0.565,0.987,0.435,0.3615107430453627,0.946,0.02410886359820726,0.94,0.827,0.998,0.173,0.953,0.173,0.7619538968712046,0.953,0.02090709936167361
PUXQE91,-2.08,0.0188,0.897,0.981,0.989,0.0188,1.7258421507363202,0.897,0.047207556955907906,-0.16,0.436,0.946,0.564,0.987,0.436,0.36051351073141397,0.946,0.02410886359820726,-1.64,0.0503,0.925,0.95,0.986,0.0503,1.2984320149440727,0.925,0.03385826726096737
GYN2,-0.82,0.206,0.897,0.794,0.981,0.206,0.6861327796308466,0.897,0.047207556955907906,-0.16,0.436,0.946,0.564,0.987,0.436,0.36051351073141397,0.946,0.02410886359820726,0.07,0.529,0.97,0.471,0.984,0.471,0.3269790928711038,0.97,0.01322826573375516
VABCQ1,1.15,0.875,0.999,0.125,0.915,0.125,0.9030899869919435,0.915,0.038578905933551705,-0.16,0.436,0.946,0.564,0.987,0.436,0.36051351073141397,0.946,0.02410886359820726,-0.55,0.29,0.925,0.71,0.984,0.29,0.5376020021010439,0.925,0.03385826726096737
MUZ624,-0.11,0.457,0.962,0.543,0.981,0.457,0.34008379993014975,0.962,0.016824927962187056,-0.16,0.438,0.946,0.562,0.987,0.438,0.3585258894959005,0.946,0.02410886359820726,-0.19,0.425,0.958,0.575,0.984,0.425,0.37161106994968846,0.958,0.018634490921455603
UCR04,1.15,0.875,0.999,0.125,0.915,0.125,0.9030899869919435,0.915,0.038578905933551705,-0.16,0.438,0.946,0.562,0.987,0.438,0.3585258894959005,0.946,0.02410886359820726,1.24,0.892,1.0,0.108,0.937,0.108,0.9665762445130504,0.937,0.02826040911222171
AFN8,0.12,0.546,0.973,0.454,0.981,0.454,0.34294414714289606,0.973,0.0118871597316481,-0.16,0.438,0.946,0.562,0.987,0.438,0.3585258894959005,0.946,0.02410886359820726,1.74,0.959,1.0,0.0413,0.844,0.0413,1.3840499483435988,0.844,0.07365755337434496
SULMP874,1.29,0.902,0.999,0.0981,0.915,0.0981,1.0083309926200514,0.915,0.038578905933551705,-0.15,0.439,0.946,0.561,0.987,0.439,0.35753547975787864,0.946,0.02410886359820726,0.31,0.62,0.975,0.38,0.984,0.38,0.42021640338318983,0.975,0.010995384301463193
BRVID386,0.07,0.528,0.971,0.472,0.981,0.472,0.32605800136591223,0.971,0.012780770091995148,-0.15,0.439,0.946,0.561,0.987,0.439,0.35753547975787864,0.946,0.02410886359820726,0.07,0.529,0.97,0.471,0.984,0.471,0.3269790928711038,0.97,0.01322826573375516
ELV8,-1.33,0.0923,0.897,0.908,0.981,0.0923,1.034798298974088,0.897,0.047207556955907906,-0.15,0.439,0.946,0.561,0.987,0.439,0.35753547975787864,0.946,0.02410886359820726,-0.29,0.386,0.952,0.614,0.984,0.386,0.41341269532824504,0.952,0.021363051615525673
SXIA918,1.17,0.878,0.999,0.122,0.915,0.122,0.9136401693252518,0.915,0.038578905933551705,-0.15,0.44,0.946,0.56,0.987,0.44,0.3565473235138126,0.946,0.02410886359820726,0.94,0.827,0.998,0.173,0.953,0.173,0.7619538968712046,0.953,0.02090709936167361
TJA0,0.65,0.743,0.988,0.257,0.981,0.257,0.5900668766687055,0.981,0.008330992620051497,-0.15,0.441,0.946,0.559,0.987,0.441,0.35556141053216145,0.946,0.02410886359820726,2.14,0.984,1.0,0.0163,0.811,0.0163,1.7878123955960423,0.811,0.09097914578884395
ZTYX72,0.94,0.826,0.999,0.174,0.975,0.174,0.7594507517174003,0.975,0.010995384301463193,-0.15,0.442,0.946,0.558,0.987,0.442,0.3545777306509081,0.946,0.02410886359820726,0.23,0.592,0.974,0.408,0.984,0.408,0.3893398369101201,0.974,0.011441043121384482
IEAS61,-0.78,0.218,0.897,0.782,0.981,0.218,0.6615435063953952,0.897,0.047207556955907906,-0.14,0.443,0.946,0.557,0.987,0.443,0.3535962737769304,0.946,0.02410886359820726,0.01,0.503,0.97,0.497,0.984,0.497,0.3036436112666679,0.97,0.01322826573375516
KLZ89,0.02,0.506,0.97,0.494,0.981,0.494,0.30627305107635305,0.97,0.01322826573375516,-0.14,0.443,0.946,0.557,0.987,0.443,0.3535962737769304,0.946,0.02410886359820726,1.13,0.871,1.0,0.129,0.949,0.129,0.889410289700751,0.949,0.022733787572707352
OSL49,-1.09,0.138,0.897,0.862,0.981,0.138,0.8601209135987634,0.897,0.047207556955907906,-0.14,0.443,0.946,0.557,0.987,0.443,0.3535962737769304,0.946,0.02410886359820726,-0.75,0.227,0.925,0.773,0.984,0.227,0.6439741428068773,0.925,0.03385826726096737
DSY581,0.54,0.705,0.988,0.295,0.981,0.295,0.530177984021837,0.981,0.008330992620051497,-0.14,0.443,0.946,0.557,0.987,0.443,0.3535962737769304,0.946,0.02410886359820726,1.57,0.941,1.0,0.0587,0.924,0.0587,1.2313618987523856,0.924,0.03432802877989328
NFZ0,-1.23,0.11,0.897,0.89,0.981,0.11,0.958607314841775,0.897,0.047207556955907906,-0.14,0.444,0.946,0.556,0.987,0.444,0.3526170298853802,0.946,0.02410886359820726,-1.05,0.147,0.925,0.853,0.984,0.147,0.8326826652518239,0.925,0.03385826726096737
WNQL450,0.63,0.734,0.988,0.266,0.981,0.266,0.575118363368933,0.981,0.008330992620051497,-0.14,0.444,0.946,0.556,0.987,0.444,0.3526170298853802,0.946,0.02410886359820726,-0.08,0.468,0.962,0.532,0.984,0.468,0.32975414692587596,0.962,0.016824927962187056
QSDPT1,-0.57,0.283,0.898,0.717,0.981,0.283,0.5482135644757098,0.898,0.04672366333269562,-0.14,0.445,0.946,0.555,0.987,0.445,0.3516399890190684,0.946,0.02410886359820726,-1.57,0.0582,0.925,0.942,0.986,0.0582,1.2350770153501116,0.925,0.03385826726096737
IIY4,0.57,0.716,0.988,0.284,0.981,0.284,0.5466816599529624,0.981,0.008330992620051497,-0.14,0.445,0.946,0.555,0.987,0.445,0.3516399890190684,0.946,0.02410886359820726,-1.13,0.129,0.925,0.871,0.984,0.129,0.889410289700751,0.925,0.03385826726096737
UEZ21,0.08,0.532,0.971,0.468,0.981,0.468,0.32975414692587596,0.971,0.012780770091995148,-0.14,0.446,0.946,0.554,0.987,0.446,0.35066514128785814,0.946,0.02410886359820726,0.94,0.826,0.998,0.174,0.953,0.174,0.7594507517174003,0.953,0.02090709936167361
IZVQC25,-0.43,0.333,0.909,0.667,0.981,0.333,0.4775557664936801,0.909,0.041436116778032536,-0.13,0.447,0.946,0.553,0.987,0.447,0.34969247686806354,0.946,0.02410886359820726,0.74,0.769,0.998,0.231,0.979,0.231,0.6363880201078557,0.979,0.009217308196862183
GOJEV7,-0.23,0.407,0.944,0.593,0.981,0.407,0.39040559077478,0.944,0.02502800570193105,-0.13,0.447,0.946,0.553,0.987,0.447,0.34969247686806354,0.946,0.02410886359820726,-0.06,0.475,0.962,0.525,0.984,0.475,0.3233063903751334,0.962,0.016824927962187056
OKJXV4,-0.61,0.27,0.898,0.73,0.981,0.27,0.5686362358410126,0.898,0.04672366333269562,-0.13,0.447,0.946,0.553,0.987,0.447,0.34969247686806354,0.946,0.02410886359820726,-0.05,0.478,0.962,0.522,0.984,0.478,0.3205721033878811,0.962,0.016824927962187056
VJS164,-0.14,0.443,0.952,0.557,0.981,0.443,0.3535962737769304,0.952,0.021363051615525673,-0.13,0.448,0.946,0.552,0.987,0.448,0.348721986001856,0.946,0.02410886359820726,-0.13,0.449,0.96,0.551,0.984,0.449,0.3477536589966768,0.96,0.017728766960431602
HMS420,-1.08,0.14,0.897,0.86,0.981,0.14,0.8538719643217619,0.897,0.047207556955907906,-0.13,0.449,0.946,0.551,0.987,0.449,0.3477536589966768,0.946,0.02410886359820726,-1.73,0.0418,0.925,0.958,0.987,0.0418,1.3788237182249647,0.925,0.03385826726096737
ESW4,1.01,0.844,0.999,0.156,0.953,0.156,0.8068754016455384,0.953,0.02090709936167361,-0.13,0.449,0.946,0.551,0.987,0.449,0.3477536589966768,0.946,0.02410886359820726,-0.23,0.409,0.957,0.591,0.984,0.409,0.38827669199265824,0.957,0.01908806222315645
FJSY7,-0.17,0.432,0.952,0.568,0.981,0.432,0.3645162531850879,0.952,0.021363051615525673,-0.13,0.449,0.946,0.551,0.987,0.449,0.3477536589966768,0.946,0.02410886359820726,-0.27,0.393,0.952,0.607,0.984,0.393,0.4056074496245733,0.952,0.021363051615525673
SZOHR216,-1.11,0.134,0.897,0.866,0.981,0.134,0.8728952016351923,0.897,0.047207556955907906,-0.13,0.449,0.946,0.551,0.987,0.449,0.3477536589966768,0.946,0.02410886359820726,-1.62,0.0527,0.925,0.947,0.986,0.0527,1.2781893847874535,0.925,0.03385826726096737
OHJQ5,-0.1,0.462,0.964,0.538,0.981,0.462,0.33535802444387447,0.964,0.01592296609716924,-0.13,0.449,0.946,0.551,0.987,0.449,0.3477536589966768,0.946,0.02410886359820726,1.23,0.891,1.0,0.109,0.937,0.109,0.9625735020593764,0.937,0.02826040911222171
ICOJ3,-0.74,0.229,0.897,0.771,0.981,0.229,0.640164517660112,0.897,0.047207556955907906,-0.12,0.45,0.946,0.55,0.987,0.45,0.3467874862246563,0.946,0.02410886359820726,1.46,0.927,1.0,0.0727,0.929,0.0727,1.138465589140962,0.929,0.03198428600635821
NDWHP82,2.14,0.984,0.999,0.016,0.648,0.016,1.7958800173440752,0.648,0.18842499412940666,-0.12,0.451,0.946,0.549,0.987,0.451,0.34582345812203946,0.946,0.02410886359820726,0.37,0.645,0.981,0.355,0.984,0.355,0.44977164694490596,0.981,0.008330992620051497
SHWDR1,-0.05,0.479,0.968,0.521,0.981,0.479,0.3196644865854368,0.968,0.014124642691606345,-0.12,0.451,0.946,0.549,0.987,0.451,0.34582345812203946,0.946,0.02410886359820726,-0.43,0.334,0.945,0.666,0.984,0.334,0.4762535331884355,0.945,0.024568191490737076
UWJO0,-0.23,0.408,0.944,0.592,0.981,0.408,0.3893398369101201,0.944,0.02502800570193105,-0.12,0.451,0.946,0.549,0.987,0.451,0.34582345812203946,0.946,0.02410886359820726,-1.14,0.127,0.925,0.873,0.984,0.127,0.8961962790440431,0.925,0.03385826726096737
SMNR610,-1.29,0.0991,0.897,0.901,0.981,0.0991,1.0039263455147247,0.897,0.047207556955907906,-0.12,0.452,0.946,0.548,0.987,0.452,0.3448615651886179,0.946,0.02410886359820726,0.28,0.612,0.975,0.388,0.984,0.388,0.41116827440579273,0.975,0.010995384301463193
LDRBN6,0.56,0.712,0.988,0.288,0.981,0.288,0.5406075122407692,0.981,0.008330992620051497,-0.12,0.452,0.946,0.548,0.987,0.452,0.3448615651886179,0.946,0.02410886359820726,0.05,0.518,0.97,0.482,0.984,0.482,0.31695296176115045,0.97,0.01322826573375516
TSUKA317,1.51,0.935,0.999,0.0652,0.865,0.0652,1.1857524042680798,0.865,0.06298389253518578,-0.12,0.452,0.946,0.548,0.987,0.452,0.3448615651886179,0.946,0.02410886359820726,-0.74,0.23,0.925,0.77,0.984,0.23,0.638272163982407,0.925,0.03385826726096737
WMQN43,-1.26,0.104,0.897,0.896,0.981,0.104,0.9829666607012196,0.897,0.047207556955907906,-0.12,0.452,0.946,0.548,0.987,0.452,0.3448615651886179,0.946,0.02410886359820726,-0.85,0.197,0.925,0.803,0.984,0.197,0.7055337738384071,0.925,0.03385826726096737
BQTKS56,0.03,0.514,0.97,0.486,0.981,0.486,0.3133637307377066,0.97,0.01322826573375516,-0.12,0.452,0.946,0.548,0.987,0.452,0.3448615651886179,0.946,0.02410886359820726,0.97,0.835,0.998,0.165,0.953,0.165,0.7825160557860937,0.953,0.02090709936167361
HMG574,1.61,0.947,0.999,0.0533,0.826,0.0533,1.2732727909734278,0.826,0.0830199526796178,-0.12,0.453,0.946,0.547,0.987,0.453,0.34390179798716813,0.946,0.02410886359820726,-0.99,0.16,0.925,0.84,0.984,0.16,0.7958800173440752,0.925,0.03385826726096737
TEI14,-0.12,0.452,0.96,0.548,0.981,0.452,0.3448615651886179,0.96,0.017728766960431602,-0.12,0.453,0.946,0.547,0.987,0.453,0.34390179798716813,0.946,0.02410886359820726,-1.88,0.0299,0.925,0.97,0.988,0.0299,1.5243288116755704,0.925,0.03385826726096737
JSXFN3,-1.01,0.155,0.897,0.845,0.981,0.155,0.8096683018297085,0.897,0.047207556955907906,-0.12,0.453,0.946,0.547,0.987,0.453,0.34390179798716813,0.946,0.02410886359820726,1.69,0.954,1.0,0.0455,0.859,0.0455,1.3419886033428876,0.859,0.0660068361687577
WTAV05,-1.37,0.0858,0.897,0.914,0.981,0.0858,1.0665127121512945,0.897,0.047207556955907906,-0.12,0.454,0.946,0.546,0.987,0.454,0.34294414714289606,0.946,0.02410886359820726,-1.23,0.109,0.925,0.891,0.984,0.109,0.9625735020593764,0.925,0.03385826726096737
TCUN2,1.25,0.894,0.999,0.106,0.915,0.106,0.9746941347352298,0.915,0.038578905933551705,-0.12,0.454,0.946,0.546,0.987,0.454,0.34294414714289606,0.946,0.02410886359820726,0.41,0.659,0.981,0.341,0.984,0.341,0.4672456210075022,0.981,0.008330992620051497
EPEC43,0.04,0.515,0.97,0.485,0.981,0.485,0.3142582613977364,0.97,0.01322826573375516,-0.12,0.454,0.946,0.546,0.987,0.454,0.34294414714289606,0.946,0.02410886359820726,-0.81,0.21,0.925,0.79,0.984,0.21,0.6777807052660807,0.925,0.03385826726096737
NGP7,0.68,0.753,0.988,0.247,0.981,0.247,0.6073030467403343,0.981,0.008330992620051497,-0.11,0.456,0.946,0.544,0.987,0.456,0.341035157335565,0.946,0.02410886359820726,-0.19,0.425,0.958,0.575,0.984,0.425,0.37161106994968846,0.958,0.018634490921455603
ZVSZT2,-0.97,0.166,0.897,0.834,0.981,0.166,0.7798919119599449,0.897,0.047207556955907906,-0.11,0.456,0.946,0.544,0.987,0.456,0.341035157335565,0.946,0.02410886359820726,-2.08,0.0187,0.925,0.981,0.992,0.0187,1.728158393463501,0.925,0.03385826726096737
HADIF24,0.56,0.713,0.988,0.287,0.981,0.287,0.5421181032660077,0.981,0.008330992620051497,-0.11,0.457,0.946,0.543,0.987,0.457,0.34008379993014975,0.946,0.02410886359820726,0.45,0.675,0.981,0.325,0.984,0.325,0.4881166390211256,0.981,0.008330992620051497
BDOM416,0.65,0.744,0.988,0.256,0.981,0.256,0.5917600346881504,0.981,0.008330992620051497,-0.11,0.457,0.946,0.543,0.987,0.457,0.34008379993014975,0.946,0.02410886359820726,-0.03,0.488,0.966,0.512,0.984,0.488,0.3115801779972894,0.966,0.015022873584506671
WGP6,0.93,0.824,0.999,0.176,0.978,0.176,0.7544873321858502,0.978,0.009661145212398569,-0.1,0.458,0.946,0.542,0.987,0.458,0.3391345219961308,0.946,0.02410886359820726,-0.35,0.363,0.945,0.637,0.984,0.363,0.4400933749638875,0.945,0.024568191490737076
DEPZ0,2.27,0.988,0.999,0.0117,0.638,0.0117,1.9318141382538383,0.638,0.19517932127883766,-0.1,0.458,0.946,0.542,0.987,0.458,0.3391345219961308,0.946,0.02410886359820726,-0.12,0.451,0.96,0.549,0.984,0.451,0.34582345812203946,0.96,0.017728766960431602
HDZIA148,-0.15,0.44,0.952,0.56,0.981,0.44,0.3565473235138126,0.952,0.021363051615525673,-0.1,0.459,0.946,0.541,0.987,0.459,0.33818731446273875,0.946,0.02410886359820726,0.4,0.656,0.981,0.344,0.984,0.344,0.46344155742846993,0.981,0.008330992620051497
WQL1,-0.85,0.197,0.897,0.803,0.981,0.197,0.7055337738384071,0.897,0.047207556955907906,-0.1,0.459,0.946,0.541,0.987,0.459,0.33818731446273875,0.946,0.02410886359820726,0.03,0.511,0.97,0.489,0.984,0.489,0.3106911408763798,0.97,0.01322826573375516
BWJG85,0.59,0.724,0.988,0.276,0.981,0.276,0.5590909179347823,0.981,0.008330992620051497,-0.1,0.46,0.946,0.54,0.987,0.46,0.3372421683184259,0.946,0.02410886359820726,-0.55,0.292,0.925,0.708,0.984,0.292,0.5346171485515817,0.925,0.03385826726096737
